date,min,max,median,q1,q3,stdev,count
2020-02-29T00:00:00.000Z,4.43,7.15,4.5,4.45,5.85,1.158,4
2020-03-01T00:00:00.000Z,2,34.89,5.65,3.57,10.45,6.239,133
2020-03-02T00:00:00.000Z,0.8,27.75,1.8,1.32,2.37,2.712,441
2020-03-03T00:00:00.000Z,1.12,27.25,2.41,1.8,4.25,3.839,421
2020-03-04T00:00:00.000Z,0.79,61.44,2.22,1.62,5.61,10.668,577
2020-03-05T00:00:00.000Z,9.4,46.16,20.09,13.98,25.86,8.197,260
2020-03-06T00:00:00.000Z,0.84,28.93,3.31,1.89,5.22,3.965,378
2020-03-07T00:00:00.000Z,0.99,7.15,3.25,2.66,4,1.049,529
2020-03-08T00:00:00.000Z,0.65,16.7,1.96,1.58,2.79,1.893,524
2020-03-09T00:00:00.000Z,0.18,18.13,2.38,0.75,4.78,2.488,534
2020-03-10T00:00:00.000Z,0.21,34.34,2.74,1.42,5.01,3.077,564
2020-03-11T00:00:00.000Z,2.52,3.1,2.65,2.6,2.88,0.193,12
2020-03-14T00:00:00.000Z,0.36,56.5,2.57,1.2,3.38,4.801,290
2020-03-15T00:00:00.000Z,0.64,82.9,3.25,2.12,3.98,5.922,291
2020-03-16T00:00:00.000Z,0.73,32.14,1.98,1.32,2.91,2.705,583
2020-03-17T00:00:00.000Z,0.76,29.28,2.25,1.51,3.04,2.154,577
2020-03-18T00:00:00.000Z,1.04,16.34,2.22,1.85,2.78,2.193,502
2020-03-19T00:00:00.000Z,1.36,12.6,3.05,2.31,4.38,2.278,557
2020-03-20T00:00:00.000Z,0.89,7.7,3.11,1.86,3.97,1.271,477
2020-03-21T00:00:00.000Z,0.9,22.92,1.66,1.3,2.62,2.832,489
2020-03-22T00:00:00.000Z,1.75,41.08,8.16,3.4,12.16,7.326,463
2020-03-23T00:00:00.000Z,4.05,19.88,7.4,6.15,8.86,2.644,458
2020-03-24T00:00:00.000Z,3.09,10.63,4.82,4.13,5.23,0.82,465
2020-03-25T00:00:00.000Z,2.77,43.12,8.84,4.22,18.43,9.966,457
2020-03-26T00:00:00.000Z,6.05,43.99,10.83,8.59,24.37,10.154,441
2020-03-27T00:00:00.000Z,7.78,32.44,18.16,15.45,26.13,6.643,401
2020-03-28T00:00:00.000Z,1.1,6.38,2.27,1.94,3.09,1.002,184
